name,status,province,city,address,facility_phone,website,person_in_charge,email,phone_number,designation,additional_requirements,shifts_available,notes
"
Schlegel Villages ",INACTIVE,ON,Kitchener,"325 Max Becker Dr, Kitchener, ON N2E 4H5",519-571-1873 ,https://schlegelvillages.com/,Christine Bruder,christine.bruder@schlegelvillages.com/ Christy.parsons@schlegelvillages.com,226-338-1479,People Opportunities Partner,,,Head Office
"
Venvi Donway Place",ACTIVE,ON,Toronto,"8 The Donway E, Toronto, ON M3C 3R7
","416-445-7555
",https://www.venviliving.com/donway-place?utm_source=gmb&utm_medium=organic&utm_content=gmb-website,Deepthy  Abraham's,Deepthy.abraham@reveraliving.com,,DOC,,,
AgeCare Samac,NOT ACCEPTING,ON,Oshawa,"451 Woodmount Dr, Oshawa, ON L1G 8E3
",905-571-0065,https://www.agecare.ca/communities/samac/,Judy Ferrer,Judy.Ferrer@AgeCare.ca,"905-571-0065 extn 503
",DOC,,,
AgeCare Westbury,INACTIVE,ON,Etobicoke,"495 The West Mall, Etobicoke, ON M9C 5S3",416-622-7094,https://www.agecare.ca/communities/westbury/,Anna Asanovic / Viktoriya Zhura,Anna.Asanovic@Agecare.ca / Viktoriya.Zhura@Agecare.ca,416-622-7094 extn 1537 / 1503,DOC,,,Viktoriya emailed Nov 15 confirming accepting placements
Ballycliffe Long Term Care Residence,ACTIVE,ON,Ajax,"70 Station St, Ajax, ON L1S 1R9",905-683-7321,https://www.agecare.ca/communities/ballycliffe/,Duna McKay,Duna.McKay@agecare.ca,,DOC,,,March 2025 intake
Bough Beeches Place,INACTIVE,ON,Mississauga,"1130 Bough Beeches Blvd
Mississauga, ON L4W 4G3",365-606-5433,https://levanteliving.com/residences/bough-beeches-place/,Ofelia Rajeevkumar,Ofelia.Rajeevkumar@boughbeechesplace.ca,,Director for Health and Wellness,Flu Shot,,
Bramelea Retirement Residence,ACTIVE,ON,Brampton,"30 Peel Centre Dr, Brampton, ON L6T 4G3
","905-790-7900
",https://levseniorliving.com/bramalearr/,Hardeep Birring / Alamjot Kaur,akaur@levliving.com,,DOC,,,
Caritas Residence,IN PROGRESS,NS,Halifax,"215 Seton Road
Halifax, Nova Scotia B3M 0C9",902-719-9766,https://experienceparkland.com/en/locations/caritas-residence/?utm_source=google&utm_medium=GMB&utm_campaign=listing,Meghan or Marissa - LTC Leonora - RH,,,,,,
Cawthra Gardens,INACTIVE,ON,Mississauga,"590 Lolita Gardens, Mississauga ON L5A 4N8",905-306-9984,https://www.agecare.ca/communities/cawthra-gardens/,Ursula Dingler,Ursula.Dingler@Agecare.ca,,DOC,,,January Intake
Chartwell Allandale Station,ACTIVE,ON,Barrie,"357 Yonge St, Barrie, ON L4N 4K3",705-721-7227,https://chartwell.com/on/barrie/allandale-station,Melissa Harris / Ana Garrido,mharris@chartwell.com / agarrido@chartwell.com,extn 603 cell 705-279-8428  / cell 705-331-2043,Health and Wellness Manager / Assisted Living Manager,,,
Chartwell Pickering City Centre Retirement Residence,ACTIVE,ON,Pickering,"1801 Valley Farm Rd, Pickering, ON L1V 0A5","905-420-3369 / 289-631-1944
",https://chartwell.com/on/pickering/pickering-city-centre,Natasha Williams / Kate Fish ,kfish@chartwell.com,,Health & Wellness Manager / DOC,,,
Chartwell Rouge Valley,ACTIVE,ON,Markham,"5958 16th Avenue, Markham ON L3P 8N1",289-378-6654,https://chartwell.com/on/markham/rouge-valley,Sanita Singh,sansingh@chartwell.com,,,,,
Chartwell Scarlett Heights,ACTIVE,ON,Etobicoke,4005 Eglinton Avenue West Etobicoke ON M9A 5H3,647-846-7007,https://chartwell.com/on/etobicoke/scarlett-heights,Dorothy Persaud,dpersaud@chartwell.com,,,,,June Intake
"Chartwell Wynfield Retirement Residence

",ACTIVE,ON,Oshawa,"431 Woodmount Dr, Oshawa, ON L1K 0P7
",289-634-7776,https://chartwell.com/on/oshawa/wynfield,Jessica Smith / Samantha Petralito,jsmith@chartwell.com / spetralito@chartwell.com,,Health & Wellness Manager / DOC,,,
Crescent Hill Place Retirement,IN PROGRESS,ON,Brampton,3 Crescent Hill Dr S Brampton ON L6S 2P2,905-216-4497,https://www.crescenthillplaceretirementhomeinc.com/,Althea Knight,crescenthillplace@hotmail.com,,Operations Manager,,,
Delmanor Wynford,ACTIVE,ON,Toronto,"187 Wynford Dr, Toronto, ON M3C 0C7
","416-331-9797
",https://delmanorwynford.com/?utm_source=google&utm_medium=organic&utm_campaign=local&utm_content=Toronto,Brenda Martin,BMartin@delmanor.com,,DOC,,,
Dom Lipa Nursing Home,ACTIVE,ON,Etobicoke,"52 Neilson Dr, Etobicoke, ON M9C 1V7",416-621-3820,https://www.domlipa.ca/,Zarah Claudio,z.claudio@domlipa.ca,416-621-3820 ext 246,DOC,,,
Extendicare Ridgeview,IN PROGRESS,ON,Stoney Creek,"385 Highland Rd W
Stoney Creek, Ontario
L8J 3X9",905-561-3332,http://www.extendicareridgeview.com/,Borka Zanetti,,905-561-3332 press 3,DOC,,,
Venvi Greenway (formerly Greenway Retirement Village),ACTIVE,ON,Brampton,"100 Ken Whillans Dr, Brampton, ON L6V 0A4
",905-799-7273,https://www.venviliving.com/greenway?utm_source=gmb&utm_medium=organic&utm_content=gmb-website,Dillon Sookraj,Dillon.Sookraj2@cogirseniorliving.ca,,DOC,,,
Hamilton Continuing Care (Schlegel Village),NOT ACCEPTING,ON,Hamilton,"125 Wentworth Street South
L8N 2Z1 Hamilton , ON",905-527-1482,https://schlegelvillages.com/hamilton-continuing-care,Christine Brunner,Christine.Brunner@schlegelvillages.com,,,,,
Hardy Terrace Long Term Care,ACTIVE,ON,Brantford,"612 Mt Pleasant Rd, Brantford, ON N3T 5L5",519-484-2431,https://rosewoodseniorcare.ca/hardy-terrace/,,drc.hterrace@diversicare.ca,,DOC,,,"Stephanie Galambos
HTAdmin@universalcareinc.ca"
Holy Family Home,ACTIVE,MB,Winnipeg,"165 Aberdeen Avenue, Winnipeg, MB R2W 1T9","204-589-7381
",https://www.holyfamilyhome.mb.ca/,"Cychowska, Magda / Stacey Morgan",MCychowska@holyfamilyhome.mb.ca / SMorgan@holyfamilyhome.mb.ca,,DOC,,,
Humber Meadows Long Term Care Home,NOT ACCEPTING,ON,North York,"2109 Finch Ave W, North York, ON M3N 1N1",416-745-2400,https://humbermeadows.ca/,Ashley Guay,Aguay@humbermeadows.ca,,DOC,,,
Humber Valley Terrace LTC,INACTIVE,ON,Etobicoke,"95 Humber College Blvd, Etobicoke, ON M9V 5B5",416-746-7466,http://www.humbervalleyterraceltc.com/,Ravinder Randhawa,ravinder.randhawa@exeassist.ca,,,,,
Ivan Franko Homes - LTC,ACTIVE,ON,Etobicoke,"767 Royal York Road, Etobicoke, Ontario M8Y 2T3",416-239-7364,https://ivanfrankohomes.com/about-us,Olena Tomchuk,olena.tomchuk@ivanfrankohomes.com,,HR Manager,,,
Kennedy Lodge Long Term Care Home,ACTIVE,ON,Scarborough,"1400 Kennedy Road, Scarborough ON M1P 4V6",416 - 752-8282,http://www.kennedylodgeltc.com/,Maria Penaflor,maria.penaflor@exeassist.ca,,Interem Staff Educator,,,
Livita Barrington Retirement Home,ACTIVE,ON,Barrie,"450 Yonge St, Barrie, ON L4N 4E2",647-492-3653,https://livinglivita.com/barrie/?utm_campaign=gmb&utm_medium=organic&utm_source=gmblisting,Glenda Cowling,gcowling@livinglivita.com,,,,,
Maplestone Enhanced Care,IN PROGRESS,NS,Halifax,245 Main Avenue Halifax NS B3M 1B7,902-443-1971,https://shannex.com/location/maplestone-enhanced-care/?utm_source=GMB&utm_medium=Google&utm_campaign=listings,,,,,,,
Oakcrossing Retirement Living People Care Communities,ACTIVE,ON,London,"1242 Oakcrossing Road
London, ON, N6H 0G2",519-641-0021,https://peoplecare.ca/long-term-care/peoplecare-oakcrossing/,Debbie Howe,dhowe@peoplecare.ca,519-641-0021 extn 108,DOC,,,
One Kenton Place,IN PROGRESS,ON,Toronto,"1 Kenton Drive Toronto, Ontario M2R 2H6 ",647-932-7913,https://onekentonplace.ca/,Kiran Sarlech,directorofcare@onekentonplace.ca,,Director of Clinical Services,,,
Regina Gardens,NOT ACCEPTING,ON,Hamilton,"536 Upper Paradise Road, Hamilton ON L9C 5E3",905-383-2970,https://www.agecare.ca/communities/regina-gardens/,Catherine Nicolas,Catherine.Nicolas@Agecare.ca,905-383-2970 extn 1302,ADOC,,,
Levante Living – Centennial Park Place,INACTIVE,ON,Etobicoke,"25 Centennial Park Rd, Etobicoke, ON M9C 5H1",647-360-8685 ,https://levanteliving.com/residences/centennial-park-place/,Denise Jokoo,Denise.Jokoo@reveraliving.com,,DOC,,,
St. Clair O'Connor Community,ACTIVE,ON,East York,"2701 St Clair Ave E Toronto, ON M4B 1M5 ",416-757-8757,https://scoc.ca/,Charlene Go,c.go@scoc.ca,,DOC,,,Vanda Cozier - DOC listed in website
Venvi Leaside,ACTIVE,ON,East York,"10-14 William Morgan Dr #10, East York, ON M4H 1E7","416-425-3722
",https://www.venviliving.com/leaside?utm_source=gmb&utm_medium=organic&utm_content=gmb-website,Charlene Parish,Charlene.parish@reveraliving.com,,DOC,,,
Access Independent Living Services,ACTIVE,ON,Scarborough,"23 Thunder Grove, Unit #311
Scarborough ON
M1V 0G6
",416-780-1650,https://accessils.ca/,Lavinder Gill,lavinderg@accessils.ca,416-780-1650 extn 228,DOC,,,
Victoria Village Manor,NOT ACCEPTING,ON,Barrie,"78 Ross St, Barrie, ON L4N 1G3
",705-728-3456,https://victoriavillage.ca/,Julie Van Vlaenderen,j.VanVlaenderen@victoriavillage.ca,705-728-3456 extn 752,DOC,,,"Jolene Morrow
Director of Resident and Family Services - listed on the website"
Markhaven Home for Seniors,ACTIVE,ON,Markham,"54 Parkway Ave, Markham, ON L3P 2G4",905-294-2233,https://markhaven.ca/,Jonathan Waddington,JWaddington@markhaven.ca,,DOC,,,Evangeline Rabena - DOC listed on the website
AgeCare Brant,ACTIVE,ON,Burlington,"1182 Northshore Blvd. E, Burlington, ON L7S 1C5

",905-639-2848,https://www.agecare.ca/communities/brant/,Marita ,marita.arguelles@agecarec.ca,905-639-2848 extn 507,DOC,,,"Dale Bamforth
- DOC listed on the website extn 503"
Richmond Hill Long-Term Care Centre,NOT ACCEPTING,ON,Richmond Hill,"11199 Yonge Street, Richmond Hill, ON L4S 1L2",905-883-9288,https://www.monsheong.org/what-we-do/long-term-care-centre/richmond-hill-long-term-care-centre/,Linghua Duo,LinghuaDuo@monsheong.org,905-883-9288 extn 2630,Director of Resident Care,,,
New Horizons Tower,ACTIVE,ON,Toronto,"1140 Bloor St W, Toronto, ON M6H 4E6",416-536-6111,www.newhorizonstower.com,Chelsea Andrade,Chelsea.Andrade@newhorizonstower.com,416-536-6111,Manager of Assisted Living,,,
The Village of Taunton Mills,ACTIVE,ON,Whitby,"3800 Brock St N, Whitby, ON L1R 3A5",905-666-3156,https://schlegelvillages.com/taunton-mills-whitby,Jennifer Cain,Jennifer.Cain@schlegelvillages.com,,,Flu Shot,,
Villa Forum,ACTIVE,ON,Mississauga,"175 Forum Dr, Mississauga, ON L4Z 4E5
",905-501-1443,https://www.agecare.ca/communities/villa-forum/,Eleonora Marcos,eleonora.marcos@agecare.ca,,ADOC,,,June Intake
PCH Community Health,ACTIVE,ON,Mississauga,"2180 Speakman Dr, Mississauga, ON L5K 0A9
",905-369-2442,https://partnerscommunityhealth.ca/,Marie Jayawardena ,Marie.Jayawardena@partnerscommunityhealth.ca,,DOC,,,
Casa Dolce Casa,ACTIVE,ON,Woodbridge,"7890 Pine Valley Dr, Woodbridge, ON L4L 7C4",905-605-1648,https://www.casadolcecasa.ca/,Rakhi Rajak,rrajak@casadolcecasa.ca,,HR Director,,,
Roberta Place LTC,ACTIVE,ON,Barrie,"503 Essa Rd, Barrie, ON L4N 9E4
",705-733-3231,https://www.jarlette.com/long-term-care/roberta-place,Olga Famina,Olga - ofamina@jarlett.com,,,,,
Nisbet Lodge,ACTIVE,ON,Toronto,"740 Pape Ave Toronto, ON M4K 3S7","416-469-1105
",https://www.nisbetlodge.com/,Wendy Chamale ,"wendyc@nisbetlodge.com

",, IPAC Lead and Student Coordinator,Flu Shot / Hepa A,,Emailed information Mar 5
Extendicare Sherwood Court,ACTIVE,ON,Maple,"300 Ravineview Dr, Maple, ON L6A 3P8
",905-303-3565,http://www.extendicaresherwoodcourt.com/,Dominique Lloyd ,dominique.lloyd@extendicare.com,,Resident Services Coordinator,,,
Ressam Gardens,ACTIVE,ON,Hamilton,"1041 West 5th Street, Hamilton, ON L9B 1J5
","289-426-3074
",https://ressamgardens.ca/,Christine Radke,reception@ressamgardens.ca,,,,,
